ФИО	Страна	Возраст	Рост, см	Вес	Пол	Дата рождения	Место рождения	Золото	Серебро	Бронза	Всего	Вид спорта	Состязание
Kamil Kuczynski	Poland	27	188	90	М	3 23 1985	PLOCK (POL)	0	0	0	0	Cycling - Track	Men's Keirin, Men's Team Sprint
Ruslan Kudayev	Uzbekistan	32	180	75	М	05 08 1980		0	0	0	0	Fencing	Men's Individual Epee
Yuriy Kudinov	Kazakhstan	33	180	80	М	2 27 1979	Moscow (RUS)	0	0	0	0	Swimming	Men's 10km Marathon
Jan Kudlicka	Czech Republic	24	184	80	М	4 29 1988	Opava (CZE)	0	0	0	0	Athletics	Men's Pole Vault
Valeriy Kudryashov	Ukraine	28	185	84	М	2 24 1984	MARIUPOL (UKR)	0	0	0	0	Sailing	Men's Laser
Besik Kudukhov	Russian Federation	25	168	60	М	8 15 1986	YUZHNAYA OSETIA ()	0	0	0	0	Wrestling	Men's 60kg Freestyle
Sviatlana Kudzelich	Belarus	25	170	52	Ж	05 07 1987	PINSK (BLR)	0	0	0	0	Athletics	Women's 3000m Steeplechase
Jochen Kuehner	Germany	31	184	72	М	10 15 1980		0	0	0	0	Rowing	Men's Lightweight Four
Martin Kuehner	Germany	31	185	70	М	10 15 1980		0	0	0	0	Rowing	Men's Lightweight Four
Andreas Kuffner	Germany	25	196	93	М	03 11 1987		1	0	0	1	Rowing	Men's Eight
Anne Kuhm	France	15	146		Ж	12 17 1996	HAGUENAU (FRA)	0	0	0	0	Gymnastics - Artistic	Women's Team, Women's Qualification
Simone Kuhn	Switzerland	31	185	74	Ж	09 02 1980		0	0	0	0	Beach Volleyball	Women's Beach Volleyball
Corinna Kuhnle	Austria	25	174	65	Ж	07 04 1987	Wien (AUT)	0	0	0	0	Canoe Slalom	Women's Kayak (K1)
Takumi Kuki	Japan	20	170	64	М	5 18 1992	ARITA (JPN)	0	0	0	0	Athletics	Men's 4 x 100m Relay
Yolane Kukla	Australia	16	168	61	Ж	9 29 1995	AUCHENFLOWER (AUS)	1	0	0	1	Swimming	Women's 4x100m Freestyle Relay
Ariana Kukors	United States of America	23	170	64	Ж	06 01 1989	Federal Way (USA)	0	0	0	0	Swimming	Women's 200m Individual Medley
Mykola Kuksenkov	Ukraine	23	172		М	06 02 1989	Kyiv (UKR)	0	0	0	0	Gymnastics - Artistic	Men's Individual All-Around, Men's Team, Men's Qualification
Mikhail Kukushkin	Kazakhstan	24	182	72	М	12 26 1987		0	0	0	0	Tennis	Men's Singles
Piotr Kula	Poland	25	190	100	М	5 23 1987	Olsztyn (POL)	0	0	0	0	Sailing	Men's Finn
Iryna Kulesha	Belarus	26	163	75	Ж	6 26 1986	OBEROVSCHINA	0	0	1	1	Weightlifting	Women's 75kg
Roman Kulesza	Poland	29	170		М	03 02 1983	GDANSK (POL)	0	0	0	0	Gymnastics - Artistic	Men's Individual All-Around, Men's Qualification
Piotr Kuleta	Poland	23	178	81	М	6 27 1989		0	0	0	0	Canoe Sprint	Men's Canoe Single (C1) 1000m, Men's Canoe Single (C1) 200m
Jaroslav Kulhavy	Czech Republic	27	187	76	М	01 08 1985	Usti Nad Orlici (CZE)	0	0	0	0	Cycling - Mountain Bike	Men's Cross-country
Petra Kulichova	Czech Republic	27	198	82	Ж	9 13 1984		0	0	0	0	Basketball	Women's Basketball
Tamas Kulifai	Hungary	23	187	82	М	05 04 1989		0	0	0	0	Canoe Sprint	Men's Kayak Four (K4) 1000m
Serhiy Kulish	Ukraine	19	173	55	М	4 17 1993	CHERKASY (UKR)	0	0	0	0	Shooting	Men's 10m Air Rifle, Men's 50m Rifle Prone, Men's 50m Rifle 3 Positions
Anna Kulkina	Kazakhstan	26	167		Ж	3 19 1986	Almaty (KAZ)	0	0	0	0	Synchronised Swimming	Women's Duets
Saki Kumagai	Japan	21	171	60	Ж	10 17 1990		0	0	0	0	Football	Women's Football
Caroline Kumahara	Brazil	17			Ж	7 27 1995	Sao Paulo (BRA)	0	0	0	0	Table Tennis	Women's Singles, Women's Team
Amit Kumar	India	18			М	12 15 1993	SONEPAT (IND)	0	0	0	0	Wrestling	Men's 55kg Freestyle
Sandeep Kumar	India	23	183	72	М	08 12 1988		0	0	0	0	Rowing	Men's Lightweight Double Sculls
Sushil Kumar	India	29			М	5 26 1983	DELHI (IND)	0	0	0	0	Wrestling	Men's 66kg Freestyle
Vijay Kumar	India	26			М	8 19 1985	HARSOUR (IND)	0	1	0	1	Shooting	Men's 25m Rapid Fire Pistol, Men's 10m Air Pistol
Deepika Kumari	India	18			Ж	6 13 1994	RATU RANCHI	0	0	0	0	Archery	Women's Individual, Women's Team
Sahana Kumari	India	30			Ж	03 06 1982	SOMESHWAR (IND)	0	0	0	0	Athletics	Women's High Jump
Cheng-Wei Kuo	Taipei (Chinese Taipei)	28	178	99	М	11 09 1983	TAOYUAN	0	0	0	0	Archery	Men's Individual, Men's Team
Hsing-Chun Kuo	Taipei (Chinese Taipei)	18	155	57	Ж	11 26 1993	ILAN	0	0	0	0	Weightlifting	Women's 58kg
Zaur Kuramagomedov	Russian Federation	24	162	60	М	3 30 1988	KABARDINO	0	0	0	0	Wrestling	Men's 60kg Greco-Roman
Olga Kurban	Russian Federation	24	173	63	Ж	12 16 1987	Irkutsk (RUS)	0	0	0	0	Athletics	Women's Heptathlon
Kurban Kurbanov	Uzbekistan	27	175	96	М	3 21 1985	FEDERATION OF RUSSIA (RUS)	0	0	0	0	Wrestling	Men's 96kg Freestyle
Bartosz Kurek	Poland	23	207	104	М	8 29 1988	Walbrzych (POL)	0	0	0	0	Volleyball	Men's Volleyball
Maria Kurjo	Germany	22	158	52	Ж	12 10 1989	Berlin (GER)	0	0	0	0	Diving	Women's 10m Platform
Bruna Kuroiwa Yamamoto Leal	Brazil	19			Ж	4 24 1993	Rio De Janeiro (BRA)	0	0	0	0	Gymnastics - Artistic	Women's Team, Women's Qualification
Narumi Kurosu	Japan	20	159	52	Ж	10 22 1991	SHIMOTSUMA (JPN)	0	0	0	0	Modern Pentathlon	Women's Modern Pentathlon
Mike Kurt	Switzerland	32	182	78	М	04 02 1980	SUMISWALD (SUI)	0	0	0	0	Canoe Slalom	Men's Kayak (K1)
Lajos Kurthy	Hungary	25	190	118	М	10 22 1986	MOHACS (HUN)	0	0	0	0	Athletics	Men's Shot Put
Amanda Kurtovic	Norway	21	176		Ж	7 25 1991		0	0	0	0	Handball	Women's Handball
Kurt Kuschela	Germany	23	182	86	М	9 30 1988		0	0	0	0	Canoe Sprint	Men's Canoe Double (C2) 1000m
Natalya Kushch-Mazuryk	Ukraine	29	172	63	Ж	03 05 1983	Donetsk (UKR)	0	0	0	0	Athletics	Women's Pole Vault
Denys Kushnirov	Ukraine	19	175	71	М	12 12 1992	Dnipropetrovsk (UKR)	0	0	0	0	Shooting	Men's 10m Air Pistol
Diaz Kusumawardani	Indonesia	16	154	49	Ж	11 02 1995	SURABAYA (INA)	0	0	0	0	Shooting	Women's 10m Air Rifle
Geofrey Kusuro	Uganda	23	172	57	М	02 12 1989	Mutishet (UGA)	0	0	0	0	Athletics	Men's 5000m
Mateusz Kusznierewicz	Poland	37	193	100	М	4 29 1975	Warszawa (POL)	0	0	0	0	Sailing	Men's Star
Phobay Kutu-Akoi	Liberia	24	162	57	Ж	12 03 1987	Monrovia (LBR)	0	0	0	0	Athletics	Women's 100m
Marina Kuzina	Russian Federation	27	194	83	Ж	7 19 1985		0	0	0	0	Basketball	Women's Basketball
Natalia Kuziutina	Russian Federation	23	159	52	Ж	05 08 1989	BRIANSK (RUS)	0	0	0	0	Judo	Women's -52kg
Igor Kuzmenok	Belarus	22	188	73	М	07 06 1990		0	0	0	0	Football	Men's Football
Afanasijs Kuzmins	Latvia	65	178	89	М	3 22 1947	BIKERNIEKI PARISH (LAT)	0	0	0	0	Shooting	Men's 25m Rapid Fire Pistol
Evgeny Kuznetsov	Russian Federation	22	170	64	М	04 12 1990	STAVROPOL (RUS)	0	1	0	1	Diving	Men's 3m Springboard, Men's Synchronised 3m Springboard
Mikhail Kuznetsov	Russian Federation	27	174	73	М	5 14 1985	Nizhniy Tagil (RUS)	0	0	0	0	Canoe Slalom	Men's Canoe Double (C2)
Viktor Kuznetsov	Ukraine	26	194	78	М	7 17 1986	ZAPORIZHZHIA (UKR)	0	0	0	0	Athletics	Men's Long Jump
Sara Kvaerno	Norway	30			Ж	7 28 1982	Namsos	0	0	0	0	Badminton	Women's Singles
Illya Kvasha	Ukraine	24	176	73	М	03 05 1988	MYKOLAIV (UKR)	0	0	0	0	Diving	Men's 3m Springboard, Men's Synchronised 3m Springboard
Petra Kvitova	Czech Republic	22	182	70	Ж	03 08 1990		0	0	0	0	Tennis	Women's Singles
Andriy Kvyatkovskyy	Ukraine	22	173	71	М	02 02 1990	KALUSH (UKR)	0	0	0	0	Wrestling	Men's 66kg Freestyle
Yasmin Kwadwo	Germany	21	170	62	Ж	11 09 1990	RECKLINGHAUSEN (GER)	0	0	0	0	Athletics	Women's 4 x 100m Relay
Pauline Kwalea	Solomon Islands	24			Ж	2 29 1988	Honiara (SOL)	0	0	0	0	Athletics	Women's 100m
Michal Kwiatkowski	Poland	22	176	68	М	06 02 1990	CHELMZA (POL)	0	0	0	0	Cycling - Road	Men's Road Race
Song Hwa Kwon	Democratic People's Republic  of Korea	20	165	63	Ж	02 05 1992		0	0	0	0	Football	Women's Football
Un Sil Kwon	Democratic People's Republic  of Korea	28	160	52	Ж	9 17 1983	S.HAMGYONG	0	0	0	0	Archery	Women's Individual
Maryna Kyiko	Ukraine	25	162		Ж	01 07 1987	Kyiv (UKR)	0	0	0	0	Trampoline	Women's Trampoline
Kaylyn Mckenzie Kyle	Canada	23	173	62	Ж	10 06 1988		0	0	0	0	Football	Women's Football
Mark Kyle	Ireland	39	182	80	М	06 05 1973	Dublin (IRL)	0	0	0	0	Equestrian	Individual Eventing, Team Eventing, COOLIO
Erik Kynard	United States of America	21	193	86	М	02 03 1991	Toledo (USA)	0	0	0	0	Athletics	Men's High Jump
Alexia Kyriazi	Greece	16	170		Ж	12 15 1995	Amarousio (GRE)	0	0	0	0	Gymnastics - Rhythmic	Group All-Around
