ФИО	Страна	Возраст	Рост, см	Вес	Пол	Дата рождения	Место рождения	Золото	Серебро	Бронза	Всего	Вид спорта	Состязание
Aida Roman	Mexico	24	168	61	Ж	5 21 1988	Mexico D.F.	0	1	0	1	Archery	Women's Individual, Women's Team
Sonja Roman	Slovenia	33	169	53	Ж	03 11 1979	MURSKA SOBOTA (SLO)	0	0	0	0	Athletics	Women's 1500m
Evgeniya Romanyuta	Russian Federation	24	166	60	Ж	1 22 1988	Tula (RUS)	0	0	0	0	Cycling - Track	Women's Omnium
Svetlana Romashina	Russian Federation	22	173		Ж	9 21 1989	Moscow (RUS)	0	0	0	0	Synchronised Swimming	Women's Duets, Women's Teams
Jarred Rome	United States of America	35	193	136	М	12 21 1976	Seattle (USA)	0	0	0	0	Athletics	Men's Discus Throw
Juan Romero	Uruguay	23	187	90	М	10 19 1988	Montevideo (URU)	0	0	0	0	Judo	Men's -90kg
Kena Romero	Colombia	24	166	58	Ж	10 31 1987		0	0	0	0	Football	Women's Football
Marisol Romero	Mexico	29	155	46	Ж	1 26 1983	Mexico D.F. (MEX)	0	0	0	0	Athletics	Women's Marathon
Natalia Romero	Chile	32	162	55	Ж	2 26 1980	TALAGANTE (CHI)	0	0	0	0	Athletics	Women's Marathon
Yasmani Romero	Cuba	23		56	М	9 26 1988	Las Tunas	0	0	0	0	Weightlifting	Men's 56kg
Oriol Romeu	Spain	20	183	89	М	9 24 1991		0	0	0	0	Football	Men's Football
Sigrid Rondelez	Belgium	41	172	62	Ж	3 17 1971	Brugge (BEL)	0	0	0	0	Sailing	Women's RS-X
Giulia Rondon	Italy	24	189	74	Ж	10 16 1987	Pisa (ITA)	0	0	0	0	Volleyball	Women's Volleyball
Cindy Carolina Rondon Martinez	Dominican Republic	24	186	61	Ж	11 12 1987	Santo Domingo (DOM)	0	0	0	0	Volleyball	Women's Volleyball
Martyn Rooney	Great Britain	25	198	81	М	04 03 1987	Croydon (GBR)	0	0	0	0	Athletics	Men's 400m, Men's 4 x 400m Relay
Sean Rooney	United States of America	29	206	100	М	11 13 1982	Wheaton (USA)	0	0	0	0	Volleyball	Men's Volleyball
Miryam Roper	Germany	30	165	57	Ж	6 26 1982	Aachen (GER)	0	0	0	0	Judo	Women's -57kg
Chiara Rosa	Italy	29	178	110	Ж	1 28 1983	Camposampiero (ITA)	0	0	0	0	Athletics	Women's Shot Put
David Joao Serralheiro Rosa	Portugal	25	168	52	М	11 12 1986	FATIMA (POR)	0	0	0	0	Cycling - Mountain Bike	Men's Cross-country
Milangela Rosales	Venezuela	25	160	55	Ж	2 21 1987	Merida (VEN)	0	0	0	0	Athletics	Women's 20km Race Walk
Paul Brian Rosario	Philippines	30	175	68	М	4 17 1982	Manila (PHI)	0	0	0	0	Shooting	Men's Skeet
Danny Rose	Great Britain	22	170	73	М	07 02 1990		0	0	0	0	Football	Men's Football
Robert Rosengren	Sweden	25	177	74	М	10 17 1986	Husie (SWE)	0	0	0	0	Wrestling	Men's 74kg Greco-Roman
Sean Rosenthal	United States of America	32	193	88	М	6 19 1980		0	0	0	0	Beach Volleyball	Men's Beach Volleyball
Nikola Rosic	Serbia	27	192	85	М	08 05 1984	Beograd (SRB)	0	0	0	0	Volleyball	Men's Volleyball
Maciej Rosiewicz	Georgia	35			М	7 31 1977	POLAND (POL)	0	0	0	0	Athletics	Men's 50km Race Walk
Ak Hafiy Tajuddin Rositi	Brunei Darussalam	21	175	64	М	07 04 1991	BANDAR SERI BEGAWAN (BRU)	0	0	0	0	Athletics	Men's 400m
Denisa Rosolova	Czech Republic	25	175	68	Ж	8 21 1986	Karvina (CZE)	0	0	0	0	Athletics	Women's 400m Hurdles, Women's 4 x 400m Relay
Alicja Rosolska	Poland	26	166	53	Ж	12 01 1985		0	0	0	0	Tennis	Women's Doubles
Husayn Rosowsky	Great Britain	21	183	76	М	04 10 1991		0	0	0	0	Fencing	Men's Individual Foil, Men's Team Foil
April Ross	United States of America	30	185	75	Ж	6 20 1982		0	0	0	0	Beach Volleyball	Women's Beach Volleyball
Jane Ross	Great Britain	22	167	57	Ж	9 18 1989		0	0	0	0	Football	Women's Football
Jesse Ross	Australia	22	188		М	02 09 1990	SOUTH BRISBANE (AUS)	0	0	0	0	Boxing	Men's Middle (75kg)
Joshua Ross	Australia	31	185	83	М	02 09 1981	CAMPERDOWN (AUS)	0	0	0	0	Athletics	Men's 4 x 100m Relay
Kyla Ross	United States of America	15	157		Ж	10 24 1996	Honolulu (USA)	1	0	0	1	Gymnastics - Artistic	Women's Team, Women's Qualification
Nicole Ross	United States of America	23	165	57	Ж	1 15 1989		0	0	0	0	Fencing	Women's Individual Foil, Women's Team Foil
Reuben Ross	Canada	26	175	73	М	12 05 1985	Regina (CAN)	0	0	0	0	Diving	Men's Synchronised 3m Springboard
Matthieu Rosset	France	22	170	67	М	5 26 1990	Lyon (FRA)	0	0	0	0	Diving	Men's 3m Springboard
Jessica Rossi	Italy	20	168	57	Ж	01 07 1992	CENTO (ITA)	0	0	0	0	Shooting	Women's Trap
Lucas Rossi	Argentina	27	188	88	М	06 02 1985		0	0	0	0	Hockey	Men's Hockey
Sebastian Rossi	Argentina	20	178	75	М	02 12 1992	Buenos Aires (ARG)	0	0	0	0	Canoe Slalom	Men's Canoe Single (C1)
Cristian Rosso	Argentina	28	185	85	М	1 29 1984		0	0	0	0	Rowing	Men's Double Sculls
Kianoush Rostami	Islamic Republic of Iran	21	175	85	М	7 23 1991	KERMANSHAH (IRI)	0	0	0	0	Weightlifting	Men's 85kg
Yasmine Mohmed Rostom	Egypt	19	162		Ж	7 25 1993	Alexandria (EGY)	0	0	0	0	Gymnastics - Rhythmic	Individual All-Around
Ioana Rotaru	Romania	28	182	79	Ж	01 04 1984		0	0	0	0	Rowing	Women's Eight
Viktor Rothlin	Switzerland	37	172	60	М	10 14 1974	SARNEN (SUI)	0	0	0	0	Athletics	Men's Marathon
Lydia Chebet Rotich	Kenya	23	157	45	Ж	08 08 1988	Keiyo (KEN)	0	0	0	0	Athletics	Women's 3000m Steeplechase
Amina Rouba	Algeria	25	173	59	Ж	09 09 1986		0	0	0	0	Rowing	Women's Single Sculls
Sebastien Rousseau	South Africa	21	190	81	М	09 10 1990	Johannesburg (RSA)	0	0	0	0	Swimming	Men's 4x200m Freestyle Relay
Jessica Roux	South Africa	19	168	62	Ж	11 10 1992	PORT ELIZBETH (RSA)	0	0	0	0	Swimming	Women's 10km Marathon
Ehsan Rouzbahani	Islamic Republic of Iran	24	178		М	6 23 1988	Tehran (IRI)	0	0	0	0	Boxing	Men's Light Heavy (81kg)
Stephen Rowbotham	Great Britain	30	193	93	М	11 11 1981		0	0	0	0	Rowing	Men's Quadruple Sculls
Shannon Rowbury	United States of America	27	165	52	Ж	9 19 1984	San Francisco (USA)	0	0	0	0	Athletics	Women's 1500m
Luke Rowe	New Zealand	20	178	75	М	9 16 1991		0	0	0	0	Football	Men's Football
Joanna Rowsell	Great Britain	23	180	64	Ж	12 05 1988	Carshalton (GBR)	0	0	0	0	Cycling - Track	Women's Team Pursuit
Cristiane Rozeira de Souza Silva	Brazil	27	170	66	Ж	5 15 1985		0	0	0	0	Football	Women's Football
Viktor Ruban	Ukraine	31	178	72	М	5 24 1981	Kharkiv	0	0	0	0	Archery	Men's Individual, Men's Team
Artem Rubanko	Ukraine	38	191	106	М	3 21 1974	Kyiv (UKR)	0	0	0	0	Athletics	Men's Hammer Throw
Giorgio Rubino	Italy	26	170	77	М	4 15 1986	Roma (ITA)	0	0	0	0	Athletics	Men's 20km Race Walk
Elena Rublevska	Latvia	36	173	59	Ж	3 23 1976	Riga (LAT)	0	0	0	0	Modern Pentathlon	Women's Modern Pentathlon
Michal Ruciak	Poland	28	190	81	М	8 22 1983	SWINOUJCIE (POL)	0	0	0	0	Volleyball	Men's Volleyball
Mikhail Ruday	Kazakhstan	24	193	100	М	05 04 1988		0	0	0	0	Water Polo	Men's Water Polo
Yekaterina Rudenko	Kazakhstan	17			Ж	10 16 1994	Almaty (KAZ)	0	0	0	0	Swimming	Women's 100m Backstroke
David Lekuta Rudisha	Kenya	23			М	12 17 1988	TRANS MARA (KEN)	0	0	0	0	Athletics	Men's 800m
Lizeth Rueda	Mexico	18	157	53	Ж	03 07 1994	GUADALAJARA (MEX)	0	0	0	0	Swimming	Women's 10km Marathon
Anna Ruh	Germany	19	185	79	Ж	6 17 1993	GREIFSWALD (GER)	0	0	0	0	Athletics	Women's Discus Throw
Caroline Ruhnau	Germany	27	175	62	Ж	10 16 1984	MUNSTER (GER)	0	0	0	0	Swimming	Women's 100m Breaststroke
Diego Ruiz	Spain	30	178	64	М	02 05 1982	BURGOS (ESP)	0	0	0	0	Athletics	Men's 1500m
Flor Ruiz	Colombia	21	171	67	Ж	1 29 1991	PRADERA (COL)	0	0	0	0	Athletics	Women's Javelin Throw
Noel Ruiz	Cuba	25			М	1 18 1987	Santiago de Cuba (CUB)	0	0	0	0	Athletics	Men's 4 x 400m Relay
Ursula Ruiz	Spain	28	170	82	Ж	08 11 1983	LORCA (ESP)	0	0	0	0	Athletics	Women's Shot Put
Victor Ruiz	Spain	23	185	80	М	1 25 1989		0	0	0	0	Football	Men's Football
Jose Ruiz Durango	Venezuela	32	187	83	М	1 22 1980	MARACAIBO (VEN)	0	0	0	0	Sailing	Men's Laser
Jesse Ruiz Flores	Mexico	27	180	112	М	7 31 1985	Orange (USA)	0	0	0	0	Wrestling	Men's 120kg Freestyle
Kelly Rulon	United States of America	27	178	61	Ж	8 16 1984	San Diego (USA)	0	0	0	0	Water Polo	Women's Water Polo
Arnis Rumbenieks	Latvia	24	175	65	М	04 04 1988	Valmiera (LAT)	0	0	0	0	Athletics	Men's 20km Race Walk
Aleksejs Rumjancevs	Latvia	26	185	86	М	2 13 1986	Riga (LAT)	0	0	0	0	Canoe Sprint	Men's Kayak Double (K2) 200m
Henrik Rummel	United States of America	24	196	98	М	9 26 1987		0	0	0	0	Rowing	Men's Four
Galen Rupp	United States of America	26	180	61	М	05 08 1986	Portland (USA)	0	0	0	0	Athletics	Men's 5000m, Men's 10,000m
Natalia Rusakova	Russian Federation	32	180	68	Ж	12 12 1979	Leningrad (RUS)	0	0	0	0	Athletics	Women's 200m, Women's 4 x 100m Relay
Amir Mustafa Rusli	Malaysia	25	172	65	М	02 05 1987	TERENGGANU (MAS)	0	0	0	0	Cycling - Road	Men's Road Race
Bianca Russell	New Zealand	34	173	80	Ж	07 04 1978	Takapuna (NZL)	0	0	0	0	Hockey	Women's Hockey
Colin Russell	Canada	28	192	90	М	07 02 1984	Oshawa (CAN)	0	0	0	0	Swimming	Men's 4x100m Freestyle Relay, Men's 4x200m Freestyle Relay
Shelley Russell	South Africa	25	163	60	Ж	7 15 1987	Johannesburg (RSA)	0	0	0	0	Hockey	Women's Hockey
Sinead Russell	Canada	19	176	69	Ж	6 15 1993	Oshawa (CAN)	0	0	0	0	Swimming	Women's 100m Backstroke, Women's 200m Backstroke, Women's 4x100m Medley Relay
Clemente Russo	Italy	30	181		М	7 27 1982		0	0	0	0	Boxing	Men's Heavy (91kg)
Pietro Ruta	Italy	24	184	74	М	08 06 1987		0	0	0	0	Rowing	Men's Lightweight Double Sculls
Kristian Ruth	Norway	27			М	7 23 1985	Oslo (NOR)	0	0	0	0	Sailing	Men's Laser
Greg Rutherford	Great Britain	25	188	87	М	11 17 1986	MILTON KEYNES (GBR)	0	0	0	0	Athletics	Men's Long Jump
Sally Rutherford	New Zealand	31	165	66	Ж	06 05 1981	Hamilton (NZL)	0	0	0	0	Hockey	Women's Hockey
Andrew Rutherfurd	Bolivia	23	178	80	М	12 21 1988	California (USA)	0	0	0	0	Swimming	Men's 100m Freestyle
Alex Rutlidge	Great Britain	23	170	62	Ж	11 12 1988		0	0	0	0	Water Polo	Women's Water Polo
Adam Rutter	Australia	25	173	60	М	12 24 1986	Sydney (AUS)	0	0	0	0	Athletics	Men's 20km Race Walk
Antti Ruuskanen	Finland	28	189	86	М	2 21 1984	PIELAVESI (FIN)	0	0	0	0	Athletics	Men's Javelin Throw
Vladislav Ryabtsev	Russian Federation	24	194	97	М	12 13 1987		0	0	0	0	Rowing	Men's Quadruple Sculls
Anton Ryakhov	Russian Federation	32	193	96	М	5 29 1980	Tashkent ()	0	0	0	0	Canoe Sprint	Men's Kayak Double (K2) 1000m
Deirdre Ryan	Ireland	30	183	63	Ж	06 01 1982	Dublin (IRL)	0	0	0	0	Athletics	Women's High Jump
Marc Ryan	New Zealand	29	185	77	М	10 14 1982	TIMARU (NZL)	0	0	1	1	Cycling - Track	Men's Team Pursuit
Matthew Ryan	Australia	28	194	90	М	6 23 1984		0	0	0	0	Rowing	Men's Eight
Michael Ryan	Ireland	36	175	83	М	04 03 1976	LIMERICK (IRL)	0	0	0	0	Equestrian	Individual Eventing, Team Eventing, BALLYLYNCH ADVENTURE
Chun Hwa Ryang	Democratic People's Republic  of Korea	21	147	48	Ж	06 12 1991	Pyongyang	0	0	1	1	Weightlifting	Women's 48kg
Andrei Rybakou	Belarus	30	172	85	М	03 04 1982	Mogilev (BLR)	0	0	0	0	Weightlifting	Men's 85kg
Viktoriya Rybalko	Ukraine	29	180	63	Ж	10 26 1982	Dnipropetrovsk (UKR)	0	0	0	0	Athletics	Women's Long Jump
Brian Ryckeman	Belgium	28	196	76	М	7 13 1984	OOSTENDE (BEL)	0	0	0	0	Swimming	Men's 10km Marathon
Sean Ryder	Great Britain	25	188	94	М	6 18 1987	Nottingham (GBR)	0	0	0	0	Water Polo	Men's Water Polo
Mariya Ryemyen	Ukraine	25	171	62	Ж	08 02 1987	DONETSK REGION (UKR)	0	0	0	0	Athletics	Women's 200m, Women's 4 x 100m Relay
Daniela Ryf	Switzerland	25	175	59	Ж	5 29 1987	RUMISBERG (SUI)	0	0	0	0	Triathlon	Women's Triathlon
Olga Rypakova	Kazakhstan	27	183	62	Ж	11 30 1984	Ust Kamenogorsk (KAZ)	0	0	0	0	Athletics	Women's Triple Jump
Sergji Rysenko	Ukraine	32	174	62	М	3 15 1980	LUGANSK (UKR)	0	0	0	0	Cycling - Mountain Bike	Men's Cross-country
Eun Hee Ryu	Republic of Korea	22	180	73	Ж	2 24 1990		0	0	0	0	Handball	Women's Handball
Seungmin Ryu	Republic of Korea	29	178	70	М	08 05 1982	Seoul	0	0	0	0	Table Tennis	Men's Team
Lisa Ryzih	Germany	23	179	60	Ж	9 27 1988	Omsk (RUS)	0	0	0	0	Athletics	Women's Pole Vault
Amine Rzig	Tunisia	31	198	95	М	8 25 1980		0	0	0	0	Basketball	Men's Basketball
Radoslaw Kawecki	Poland	20	185	74	М	8 16 1991	GLOGOW (POL)	0	0	0	0	Swimming	Men's 200m Backstroke
Rafal Hejmej	Poland	32	187	90	М	7 15 1980		0	0	0	0	Rowing	Men's Eight
Ranomi Kromowidjojo	Netherlands	21	179	69	Ж	8 20 1990	WINSUM (NED)	1	1	0	2	Swimming	Women's 50m Freestyle, Women's 100m Freestyle, Women's 4x100m Freestyle Relay
Rares Dumitrescu	Romania	28	191	90	М	12 24 1983		0	0	0	0	Fencing	Men's Individual Sabre, Men's Team Sabre
Raya Hatahet	Jordan	22			Ж	12 26 1989	Amman (JOR)	0	0	0	0	Taekwondo	Women's -49kg
Remy Ebanega	Gabon	22	178	78	М	11 17 1989		0	0	0	0	Football	Men's Football
Ren Hayakawa	Japan	24	179	65	Ж	8 24 1987	Anyang	0	0	1	1	Archery	Women's Individual, Women's Team
Renata Plis	Poland	27	172	53	Ж	02 05 1985	Wroclaw (POL)	0	0	0	0	Athletics	Women's 1500m
Rene Herrera	Philippines	33	172	65	М	5 24 1979	JORDAN, ILOILO (PHI)	0	0	0	0	Athletics	Men's 5000m
Revaz Lashkhi	Georgia	24	172	60	М	5 26 1988	Borjomi (GEO)	0	0	0	0	Wrestling	Men's 60kg Greco-Roman
Rhett Halkett	South Africa	26	180	80	М	05 02 1986		0	0	0	0	Hockey	Men's Hockey
Richard Davison	Great Britain	56	177	76	М	9 20 1955	Nottingham (GBR)	0	0	0	0	Equestrian	Individual Dressage, ARTEMIS
Richard Gasquet	France	26	185	75	М	6 18 1986		0	0	0	0	Tennis	Men's Singles, Men's Doubles
Richard Hortness	Canada	27	191	86	М	5 23 1985	London (CAN)	0	0	0	0	Swimming	Men's 4x100m Freestyle Relay
Richard Hounslow	Great Britain	30	183	76	М	12 19 1981	HARROW (GBR)	0	1	0	1	Canoe Slalom	Men's Kayak (K1), Men's Canoe Double (C2)
Richard Kruse	Great Britain	29	190	85	М	7 30 1983		0	0	0	0	Fencing	Men's Individual Foil, Men's Team Foil
Riza Kayaalp	Turkey	22	181	120	М	10 10 1989	YOZGAT (TUR)	0	0	0	0	Wrestling	Men's 120kg Greco-Roman
Rob Parker	Great Britain	24	200	100	М	12 04 1987	Cheltenham (GBR)	0	0	0	0	Water Polo	Men's Water Polo
Robert Harting	Germany	27	201	126	М	10 18 1984	Cottbus (GER)	0	0	0	0	Athletics	Men's Discus Throw
Robert Kubaczyk	Poland	25	177	73	М	08 04 1986	WOLSZTYN (POL)	0	0	0	0	Athletics	Men's 4 x 100m Relay
Robert Lathouwers	Netherlands	29	190	75	М	07 08 1983	Rotterdam (NED)	0	0	0	0	Athletics	Men's 800m
Robyn Krista Gayle	Canada	26	168	65	Ж	10 31 1985		0	0	0	0	Football	Women's Football
Roger Hudson	South Africa	34	177	75	М	3 22 1978	Cape Town (RSA)	0	0	0	0	Sailing	Men's 470
Romain Mesnil	France	35	188	75	М	6 13 1977	LE PLESSIS BOUCHARD (FRA)	0	0	0	0	Athletics	Men's Pole Vault
Romana Labounkova	Czech Republic	23	167	68	Ж	4 27 1989	Jesenik (CZE)	0	0	0	0	Cycling - BMX	Women's BMX
Romuald Hausser	Switzerland	24	185	71	М	4 16 1988	Gen√®ve (SUI)	0	0	0	0	Sailing	Men's 470
Ronald Forbes	Cayman Islands	27	192	93	М	04 05 1985	George Town (CAY)	0	0	0	0	Athletics	Men's 110m Hurdles
Ronald Pognon	France	29	185	71	М	11 16 1982	PANTIN (FRA)	0	0	0	0	Athletics	Men's 4 x 100m Relay
Rosalba Forciniti	Italy	26	159	52	Ж	2 13 1986	COSENZA (ITA)	0	0	1	1	Judo	Women's -52kg
Rosario la Mastra	Italy	28			М	01 02 1984	Catania (ITA)	0	0	0	0	Athletics	Men's 4 x 100m Relay
Ross Davenport	Great Britain	28	187	76	М	5 23 1984	DERBY (GBR)	0	0	0	0	Swimming	Men's 4x200m Freestyle Relay
Ruoqi Hui	People's Republic of China	21	189	70	Ж	03 04 1991	Liaoning (CHN)	0	0	0	0	Volleyball	Women's Volleyball
Russell Ford	Australia	28	181	77	М	8 18 1983		0	0	0	0	Hockey	Men's Hockey
Ruth Gbagbi	C√¥te d'Ivoire	18	172		Ж	02 07 1994	Abidjan (CIV)	0	0	0	0	Taekwondo	Women's -67kg
Ruy Fonseca	Brazil	39			М	06 09 1973	Sao Paulo (BRA)	0	0	0	0	Equestrian	Individual Eventing, Team Eventing, TOM BOMBADILL TOO
Ryan Hall	United States of America	29	178	61	М	10 14 1982	Kirkland (USA)	0	0	0	0	Athletics	Men's Marathon
Ryder Hesjedal	Canada	31	188	73	М	12 09 1980	Victoria (CAN)	0	0	0	0	Cycling - Road	Men's Individual Time Trial, Men's Road Race
Carolina S Borges-Mendelblatt	Portugal	33	175	60	Ж	5 25 1979	Rio De Janeiro (BRA)	0	0	0	0	Sailing	Women's RS-X
Andre Sa	Brazil	35	186	80	М	05 06 1977		0	0	0	0	Tennis	Men's Doubles
Jaehyouk Sa	Republic of Korea	27	168	77	М	1 29 1985	Gangwon	0	0	0	0	Weightlifting	Men's 77kg
Ahmed Saad	Egypt	25	158	62	М	11 01 1986	FAYOUM	0	0	0	0	Weightlifting	Men's 62kg
Saadeldin Saad	Egypt	23	168	82	М	04 01 1989		0	0	0	0	Football	Men's Football
Lucas Saatkamp	Brazil	26	209	101	М	03 06 1986		0	0	0	0	Volleyball	Men's Volleyball
Rustim Sabirkhouzine	Kazakhstan	34	179	87	М	01 04 1978	Moscow (RUS)	0	0	0	0	Modern Pentathlon	Men's Modern Pentathlon
Hamilton Sabot	France	25	173		М	5 31 1987	CAGNES SUR MER (FRA)	0	0	0	0	Gymnastics - Artistic	Men's Team, Men's Qualification
Victor Sada	Spain	28	192	88	М	03 08 1984		0	0	0	0	Basketball	Men's Basketball
Mindaugas Sadauskas	Lithuania	22	193	92	М	6 14 1990	PANEVEZYS (LTU)	0	0	0	0	Swimming	Men's 100m Freestyle
Grit Sadeiko	Estonia	23	172	59	Ж	7 29 1989	Tallinn (EST)	0	0	0	0	Athletics	Women's Heptathlon
Urszula Sadkowska	Poland	28	193	78	Ж	02 06 1984	Olsztyn (POL)	0	0	0	0	Judo	Women's +78kg
Nina Saeedyokota	Japan	18	166		Ж	03 02 1994	KIYOSE (JPN)	0	0	0	0	Gymnastics - Rhythmic	Group All-Around
Svetlana Saenko	Republic of Moldova	29	169	72	Ж	10 27 1982	SUMI (UKR)	0	0	0	0	Wrestling	Women's 72kg Freestyle
Stephen Saenz	Mexico	21	183	116	М	8 23 1990	McAllen (USA)	0	0	0	0	Athletics	Men's Shot Put
Lucie Safarova	Czech Republic	25	177	65	Ж	02 04 1987		0	0	0	0	Tennis	Women's Singles, Women's Doubles
Devid Safaryan	Armenia	23	170	66	М	08 01 1989	CHERKESK (RUS)	0	0	0	0	Wrestling	Men's 66kg Freestyle
Vazgen Safaryants	Belarus	27	170		М	10 22 1984		0	0	0	0	Boxing	Men's Light (60kg)
Katerina Safrankova	Czech Republic	23	193	115	Ж	06 08 1989	Kolin (CZE)	0	0	0	0	Athletics	Women's Hammer Throw
Dmitriy Safronov	Russian Federation	30	189	73	М	10 09 1981	Moscow (RUS)	0	0	0	0	Athletics	Men's Marathon
Peter Sagan	Slovakia	22	183	74	М	1 26 1990	Zilina (SVK)	0	0	0	0	Cycling - Road	Men's Road Race
Nezir Sagir	Turkey	28		83	М	10 19 1983	ISPERIH	0	0	0	0	Weightlifting	Men's 85kg
Mojca Sagmeister	Slovenia	16	165	50	Ж	03 06 1996	Slovenj Gradec (SLO)	0	0	0	0	Swimming	Women's 400m Freestyle, Women's 4x200m Freestyle Relay
Ramazan Sahin	Turkey	29	168	66	М	07 08 1983	DAGISTAN (RUS)	0	0	0	0	Wrestling	Men's 66kg Freestyle
Eliane Saholinirina	Madagascar	30	155	43	Ж	3 20 1982	BETSIAKA (MAD)	0	0	0	0	Athletics	Women's 1500m
Tugce Sahutoglu	Turkey	24	180	115	Ж	05 01 1988	Mersin (TUR)	0	0	0	0	Athletics	Women's Hammer Throw
Jaysuma Saidy Ndure	Norway	28			М	01 01 1984	Bakau (GAM)	0	0	0	0	Athletics	Men's 100m, Men's 200m
Norikatsu Saikawa	Japan	26	186	96	М	03 11 1986	SANO (JPN)	0	0	0	0	Wrestling	Men's 96kg Greco-Roman
Verena Sailer	Germany	26	166	57	Ж	10 16 1985	ILLERTISSEN (GER)	0	0	0	0	Athletics	Women's 100m, Women's 4 x 100m Relay
David Sain	Croatia	24	186	93	М	02 08 1988		0	1	0	1	Rowing	Men's Quadruple Sculls
Nyam-Ochir Sainjargal	Mongolia	26	174	73	М	7 20 1986	UVS PROVINCE (MGL)	0	0	1	1	Judo	Men's -73kg
Manabu Saito	Japan	22	165	54	М	04 04 1990		0	0	0	0	Football	Men's Football
Takumi Saito	Japan	19	178	61	М	3 23 1993	KAITA (JPN)	0	0	0	0	Athletics	Men's 20km Race Walk
Jean-Michel Saive	Belgium	42	181	80	М	11 17 1969	Liege (BEL)	0	0	0	0	Table Tennis	Men's Singles
Pinar Saka	Turkey	26	163	54	Ж	11 05 1985	ISTANBUL / USKUDAR (TUR)	0	0	0	0	Athletics	Women's 400m, Women's 4 x 400m Relay
Suraju Saka	Congo	36	183		М	05 05 1976	NIGERIA (NGR)	0	0	0	0	Table Tennis	Men's Singles
Viacheslav Sakaev	Russian Federation	24	178	65	М	01 12 1988	Novosibirsk (RUS)	0	0	0	0	Athletics	Men's 400m Hurdles
Mizuho Sakaguchi	Japan	24	165	58	Ж	10 15 1987		0	0	0	0	Football	Women's Football
Gotoku Sakai	Japan	21	176	74	М	3 14 1991		0	0	0	0	Football	Men's Football
Hiroki Sakai	Japan	22	183	70	М	04 12 1990		0	0	0	0	Football	Men's Football
Mariko Sakai	Japan	21	165		Ж	12 03 1990	GLEN ROCK (USA)	0	0	0	0	Synchronised Swimming	Women's Teams
Haruna Sakakibara	Japan	18	182	73	Ж	03 11 1994		0	0	0	0	Rowing	Women's Single Sculls
Rytis Sakalauskas	Lithuania	25	185	83	М	6 27 1987	Alytus (LTU)	0	0	0	0	Athletics	Men's 100m
Naoya Sakamoto	Japan	24	178	77	М	6 29 1988	TANABE (JPN)	0	0	0	0	Canoe Sprint	Men's Canoe Single (C1) 200m
Joy Nakhumicha Sakari	Kenya	26	170	60	Ж	06 06 1986	BUNGOMA (KEN)	0	0	0	0	Athletics	Women's 400m
Saori Sakoda	Japan	24	175	64	Ж	12 18 1987	KAGOSHIMA (JPN)	0	0	0	0	Volleyball	Women's Volleyball
Irving Saladino	Panama	29	176	70	М	1 23 1983	Panama (PAN)	0	0	0	0	Athletics	Men's Long Jump
Olha Saladuha	Ukraine	29	176	58	Ж	06 04 1983	Donetsk (UKR)	0	0	0	0	Athletics	Women's Triple Jump
Evgeny Salakhov	Russian Federation	33	184	84	М	1 25 1979	Ekaterinburg (RUS)	0	0	0	0	Canoe Sprint	Men's Kayak Single (K1) 200m, Men's Kayak Double (K2) 1000m
Yuliana Salakhova	Russian Federation	27	179	71	Ж	12 16 1984	Volgograd (RUS)	0	0	0	0	Canoe Sprint	Women's Kayak Single (K1) 500m
Julio Cesar Salamanca Pineda	El Salvador	23	159	61	М	7 15 1989	San Miguel	0	0	0	0	Weightlifting	Men's 62kg
Liana Salazar	Colombia	19	168	56	Ж	9 16 1992		0	0	0	0	Football	Women's Football
Haboosh Salbookh Salbookh Alnofeli	United Arab Emirates	23	168	62	М	7 13 1989		0	0	0	0	Football	Men's Football
Carlos Salcido	Mexico	32	175	70	М	04 02 1980		0	0	0	0	Football	Men's Football
Silvana Saldarriaga	Peru	19	155	58	Ж	3 13 1993	TUMBES	0	0	0	0	Weightlifting	Women's 63kg
Ahmed Saleh	Egypt	32	179	84	М	11 14 1979	GIZA (EGY)	0	0	0	0	Table Tennis	Men's Team
Saleh Saleh Gomaa	Egypt	19	175	72	М	08 01 1993		0	0	0	0	Football	Men's Football
Behdad Salimikordasiabi	Islamic Republic of Iran	22	197	165	М	12 08 1989	GHAEMSHAHR (IRI)	0	0	0	0	Weightlifting	Men's +105kg
Silvia Salis	Italy	26	179	76	Ж	9 17 1985	Genova (ITA)	0	0	0	0	Athletics	Women's Hammer Throw
Marc Salles	Spain	25	170	64	М	05 06 1987		0	0	0	0	Hockey	Men's Hockey
Ali Nadhim Salman Salman	Iraq	30	190	120	М	12 15 1981	BAGHDAD (IRQ)	0	0	0	0	Wrestling	Men's 120kg Greco-Roman
Laura Salminen	Finland	25	167	57	Ж	04 09 1987	SIPOO (FIN)	0	0	0	0	Modern Pentathlon	Women's Modern Pentathlon
Max Salminen	Sweden	23	197	104	М	9 22 1988	S:T PETERS (SWE)	0	0	0	0	Sailing	Men's Star
Emanuela Salopek	Croatia	25	178	66	Ж	4 18 1987		0	0	0	0	Basketball	Women's Basketball
Teodor Salparov	Bulgaria	29	185	78	М	8 16 1982	GABROVO (BUL)	0	0	0	0	Volleyball	Men's Volleyball
Kristina Saltanovic	Lithuania	37	164	53	Ж	2 20 1975	Vilnius (LTU)	0	0	0	0	Athletics	Women's 20km Race Walk
